A,B,C,D,E,F,G
#2D8_G,#4D57_G,#8D10_G,#10D19_G,#13D28_G,#16D15_G,not sequenced
#2D28_G,#5D11_G,#8D15_G,#11D13_G,#13D56_G,#16D30_G,PC6_2
#2D54_G,#5D29_G,#8D29_G,#11D33_G,#14D12_G,#16D57_G,not sequenced
#3D14_G,#5D59_G,#9D9_G,#11D53_G,#14D27_G,#17D11_G,PC6_1
#3D30_G,#6D57_G,#9D31_G,#12D10_G,#14D59_G,#17D30_G,
#3D51_G,#7D11_G,#9D57_G,#12D32_G,#15D11_G,#17D51_G,
#4D10_G,#7D16_G,#10D11_G,#12D57_G,#15D28_G,NC6,
#4D32_G,#7D17_G,#10D13_G,#13D10_G,#15D52_G,NC7,
