A,B,C,D,E,F,G,H,I,J,K,L
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
#6D57_S,#6D57_S_dup,#6D57_M,#6D57_M_dup,#7D15_S,#7D15_S_dup,#7D15_M,#7D15_M_dup,not sequenced,not sequenced,not sequenced,not sequenced
#8D10_S,#8D10_S_dup,#8D10_M,#8D10_M_dup,#8D15_S,#8D15_S_dup,#8D15_M,#8D15_M_dup,not sequenced,not sequenced,not sequenced,not sequenced
#8D29_S,#8D29_S_dup,#8D29_M,#8D29_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,#9D11_S,#9D11_S_dup,#9D11_M,#9D11_M_dup
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,#9D31_S,#9D31_S_dup,#9D31_M,#9D31_M_dup
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
#9D57_S,#9D57_S_dup,#9D57_M,#9D57_M_dup,#10D10_S,#10D10_S_dup,#10D10_M,#10D10_M_dup,#10D13_S,#10D13_S_dup,#10D13_M,#10D13_M_dup
#10D19_S,#10D19_S_dup,#10D19_M,#10D19_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,#11D13_M,#11D13_M_dup,#7D9_M,NC3
