A,B,C,D,E,F,G
#2D8_M,#5D11_M,#6D57_M,#10D13_M,#11D33_M,#11D52_M,PC4_1
#2D28_M,#5D29_M,#8D10_M,#11D13_M,#12D25_M,#12D57_M,not sequenced
#2D56_M,#3D32_M,#8D29_M,#7D9_M,#13D29_M,#13D57_M,PC5
#3D12_M,#4D57_M,#7D15_M,#12D10_M,#14D27_M,#14D57_M,not sequenced
#3D51_M,#5D59_M,#8D15_M,#13D8_M,#15D28_M,#15D50_M,PC5_2
#6D15_M,#6D29_M,#10D10_M,#14D10_M,#16D30_M,#16D57_M,
#4D10_M,#9D57_M,#9D11_M,#15D8_M,#17D29_M,#17D56_M,
#4D32_M,#10D19_M,#9D31_M,#17D11_M,#16D15_M,,
