A,B,C,D,E,F,G,H,I,J,K,L
#11D33_S,#11D33_S_dup,#11D33_M,#11D33_M_dup,#11D52_S,#11D52_S_dup,#11D52_M,#11D52_M_dup,#12D10_S,#12D10_S_dup,#12D10_M,#12D10_M_dup
#12D25_S,#12D25_S_dup,#12D25_M,#12D25_M_dup,#12D57_S,#12D57_S_dup,#12D57_M,#12D57_M_dup,#13D8_S,#13D8_S_dup,#13D8_M,#13D8_M_dup
#13D29_S,#13D29_S_dup,#13D29_M,#13D29_M_dup,#13D57_S,#13D57_S_dup,#13D57_M,#13D57_M_dup,#14D10_S,#14D10_S_dup,#14D10_M,#14D10_M_dup
#14D27_S,#14D27_S_dup,#14D27_M,#14D27_M_dup,#14D57_S,#14D57_S_dup,#14D57_M,#14D57_M_dup,#15D8_S,#15D8_S_dup,#15D8_M,#15D8_M_dup
#15D28_S,#15D28_S_dup,#15D28_M,#15D28_M_dup,#15D50_S,#15D50_S_dup,#15D50_M,#15D50_M_dup,not sequenced,not sequenced,not sequenced,not sequenced
#16D30_S,#16D30_S_dup,#16D30_M,#16D30_M_dup,#16D57_S,#16D57_S_dup,#16D57_M,#16D57_M_dup,#17D11_S,#17D11_S_dup,#17D11_M,#17D11_M_dup
#17D29_S,#17D29_S_dup,#17D29_M,#17D29_M_dup,#17D56_S,#17D56_S_dup,#17D56_M,#17D56_M_dup,PC4_1,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,#11D13_S,not sequenced
