A,B,C,D,E,F,G,H,I,J,K,L
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
#2D8_S,#2D8_S_dup,#2D8_M,#2D8_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
#2D28_S,#2D28_S_dup,#2D28_M,#2D28_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,#2D56_S,#2D56_S_dup,#2D56_M,#2D56_M_dup,not sequenced,not sequenced,not sequenced,not sequenced
#3D12_S,#3D12_S_dup,#3D12_M,#3D12_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,NC1
