A,B,C,D,E,F,G,H,I,J,K,L
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,PC5,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,#16D15_S,#16D15_S_dup,#16D15_M,#16D15_M_dup,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced
not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,not sequenced,PC5_2,NC5
