A,B,C,D,E,F,G,H,I,J,K,L
#40D89,#58D36,#58D382,#60D43,#63D17,#63D368,#69M,#69D51,#72D11,#72D63,#79D127,#82D243
#40M,#58D43,#83D366,#60D52,#63D23,#68M,#69D4,#69D61,#72D17,#72D123,#79D234,#82D361
#58M,#58D47,#60D8,#60D57,#63D29,#68D32,,#69D73,,#72D243,#79D363,#83D38
#58D7,#58D52,#60D13,#60D144,#63D40,#68D63,#69D15,#69D115,#72D25,#72D362,#82M,#83D59
,#58D63,#60D19,#60D256,#63D52,#68D90,#69D24,#69D242,#72D32,#79M,#82D33,#83D88
#58D13,#58D72,#60D22,#60D382,#63D61,#68D122,#69D33,#69D375,#72D39,#79D29,#82D90,#83D119
#58D22,#58D144,#60D31,,#63D126,#68D243,#69D36,#72M,#72D48,#79D62,#82D121,#83D239
#58D28,#58D256,#60D38,#63D9,#63D250,#68D368,#69D49,#72D6,#72D57,#79D88,,NC3
