A,B,C,D,E,F,G
#128D245,#129D361,#131M,#132D27,#133D61,Zymo,NC5
#128D361,#130M,#131D34,#132D58,#133D91,#79D62_dup,#128D9
#129M,#130D28,#131D62,#132D90,#133D123,#82D90_dup,
#129D30,#130D56,#131D92,#132D122,#133D242,#82D121_dup,
#129D62,#130D87,#131D123,#132D243,#133D361,,
#129D93,#130D120,#131D244,#132D364,#63D126_dup,#108D7,
#129D122,#130D243,#131D368,#133M,#63D250_dup,#114D7,
#129D245,#130D369,#132M,#133D29,#69D8,#121D363_dup,
