A,B,C,D,E,F,G,H,I,J,K,L
,#13D23,#13D245,#19D30,#21D61,#22D103,#23D42,#23D383,#31M,,#37D60,#38D245
#13D6,#13D33,#13D371,#19D37,#21D96,#22D124,#23D53,#26M,#31D30,,#37D123,#38D370
,#13D25,,#19D61,#21D124,#22D246,#23D62,#26D30,#31D61,#37D8,#37D240,#38D488
#13M,#13D36,#19M,#19D70,#21D251,#22D366,#23D68,#26D64,#31D90,#37D15,#37D371,
#13D14,,,#19D119,#21D376,,#23D74,#26D92,#31D124,#37D23,#38M,#39M
#13D15,#13D37,#19D8,#19D244,#22M,#23D9,#23D84,#26D131,#31D247,,#38D63,
#13D17,#13D43,#19D10,#19D365,#22D31,#23D15,#23D126,#26D250,#31D369,#37D43,#38D92,#39D15
#13D21,#13D122,,#21D36,#22D60,#23D37,#23D246,#26D374,#37M,#37D47,#38D125,NC1
