A,B,C,D,E,F,G,H,I,J,K,L
S3_002_008Y1,S3_005_011Y1,S3_006_057Y1,S3_010_013Y1,S3_011_033Y1,S3_011_052Y1,S3_CON_015Z1,empty,empty,empty,empty,empty
S3_002_028Y1,S3_005_029Y1,S3_008_010Y1,S3_011_013Y1,S3_012_025Y1,S3_012_057Y1,MCS-15-H10,empty,empty,empty,empty,empty
S3_002_056Y1,S3_003_032Y1,S3_008_029Y1,S3_007_009Y1,S3_013_029Y1,S3_013_057Y1,S3_CON_016Z1,empty,empty,empty,empty,empty
S3_003_012Y1,S3_004_057Y1,S3_007_015Y1,S3_012_010Y1,S3_014_027Y1,S3_014_057Y1,MCS-16-D7,empty,empty,empty,empty,empty
S3_003_051Y1,S3_005_059Y1,S3_008_015Y1,S3_013_008Y1,S3_015_028Y1,S3_015_050Y1,S3_CON_016Z3,empty,empty,empty,empty,empty
S3_006_015Y1,S3_006_029Y1,S3_010_010Y1,S3_014_010Y1,S3_016_030Y1,S3_016_057Y1,empty,empty,empty,empty,empty,empty
S3_004_010Y1,S3_009_057Y1,S3_009_011Y1,S3_015_008Y1,S3_017_029Y1,S3_017_056Y1,empty,empty,empty,empty,empty,empty
S3_004_032Y1,S3_010_019Y1,S3_009_031Y1,S3_017_011Y1,S3_016_015Y1,empty,empty,empty,empty,empty,empty,empty
