A,B,C,D,E,F,G,H,I,J,K,L
16E-0808-1,16E-0808-2,16E-0808-3,16F-0808-1,16F-0808-2,16F-0808-3,16G-0808-1,16G-0808-2,16G-0808-3,16J-0808-1,16J-0808-2,16J-0808-3
16L-0808-1,16L-0808-2,16L-0808-3,16M-0808-1,16M-0808-2,16M-0808-3,16T-0808-1,16T-0808-2,16T-0808-3,16B-0919-1,16B-0919-2,16B-0919-3
16D-0919-1,16D-0919-2,16D-0919-3,16E-0919-1,16E-0919-2,16E-0919-3,16F-0919-1,16F-0919-2,16F-0919-3,16G-0919-1,16G-0919-2,16G-0919-3
16J-0919-1,16J-0919-2,16J-0919-3,16L-0919-1,16L-0919-2,16L-0919-3,16M-0919-1,16M-0919-2,16M-0919-3,16T-0919-1,16T-0919-2,16T-0919-3
S3_002_008W1,S3_002_008W1,S3_002_008Y1,S3_002_008Y1,02W-0412-1,02W-0412-2,02Y-0412-1,02Y-0412-2,02W-0420-1,02W-0420-2,02Y-0420-1,02Y-0420-2
S3_002_028W1,S3_002_028W1,S3_002_028Y1,S3_002_028Y1,02W-0504-1,02W-0504-2,02Y-0504-1,02Y-0504-2,02W-0511-1,02W-0511-2,02Y-0511-1,02Y-0511-2
02W-0518-1,02W-0518-2,02Y-0518-1,02Y-0518-2,S3_002_056W1,S3_002_056W1,S3_002_056Y1,S3_002_056Y1,03W-0609-1,03W-0609-2,03Y-0609-1,03Y-0609-2
S3_003_012W1,S3_003_012W1,S3_003_012Y1,S3_003_012Y1,03W-0619-1,03W-0619-2,14-S-0711,15-S-0615,16-S-0802,16-S-0808,16-S-0919,S3_CON_012E1
