A,B,C,D,E,F,G,H,I,J,K,L
S3_002_008G1,S3_004_057G1,S3_008_010G1,S3_010_019G1,S3_013_028G1,S3_016_015G1,MCS-17-A2,empty,empty,empty,empty,empty
S3_002_028G1,S3_005_011G1,S3_008_015G1,S3_011_013G1,S3_013_056G1,S3_016_030G1,S3_CON_017Z2,empty,empty,empty,empty,empty
S3_002_054G1,S3_005_029G1,S3_008_029G1,S3_011_033G1,S3_014_012G1,S3_016_057G1,MCS-17-G9,empty,empty,empty,empty,empty
S3_003_014G1,S3_005_059G1,S3_009_009G1,S3_011_053G1,S3_014_027G1,S3_017_011G1,S3_CON_017Z4,empty,empty,empty,empty,empty
S3_003_030G1,S3_006_057G1,S3_009_031G1,S3_012_010G1,S3_014_059G1,S3_017_030G1,empty,empty,empty,empty,empty,empty
S3_003_051G1,S3_007_011G1,S3_009_057G1,S3_012_032G1,S3_015_011G1,S3_017_051G1,empty,empty,empty,empty,empty,empty
S3_004_010G1,S3_007_016G1,S3_010_011G1,S3_012_057G1,S3_015_028G1,S3_CON_017E1,empty,empty,empty,empty,empty,empty
S3_004_032G1,S3_007_017G1,S3_010_013G1,S3_013_010G1,S3_015_052G1,S3_CON_018E1,empty,empty,empty,empty,empty,empty
