A,B,C,D,E,F,G,H,I,J,K,L
03Y-0619-1,03Y-0619-2,03W-0626-1,03W-0626-2,03Y-0626-1,03Y-0626-2,S3_003_032W1,S3_003_032W1,S3_003_032Y1,S3_003_032Y1,S3_003_051W1,S3_003_051W1
S3_003_051Y1,S3_003_051Y1,S3_004_010W1,S3_004_010W1,S3_004_010Y1,S3_004_010Y1,04W-0626-1,04W-0626-2,04Y-0626-1,04Y-0626-2,04W-0705-1,04W-0705-2
04Y-0705-1,04Y-0705-2,S3_004_032W1,S3_004_032W1,S3_004_032Y1,S3_004_032Y1,04W-0721-1,04W-0721-2,04Y-0721-1,04Y-0721-2,04W-0726-1,04W-0726-2
04Y-0726-1,04Y-0726-2,04W-0801-1,04W-0801-2,04Y-0801-1,04Y-0801-2,S3_004_057W1,S3_004_057W1,S3_004_057Y1,S3_004_057Y1,05W-0714-1,05W-0714-2
05Y-0714-1,05Y-0714-2,S3_005_011W1,S3_005_011W1,S3_005_011Y1,S3_005_011Y1,05W-0724-1,05W-0724-2,05Y-0724-1,05Y-0724-2,05W-0801-1,05W-0801-2
05Y-0801-1,05Y-0801-2,S3_005_029W1,S3_005_029W1,S3_005_029Y1,S3_005_029Y1,05W-0814-1,05W-0814-2,05Y-0814-1,05Y-0814-2,05W-0821-1,05W-0821-2
05Y-0821-1,05Y-0821-2,05W-0828-1,05W-0828-2,05Y-0828-1,05Y-0828-2,S3_005_059W1,S3_005_059W1,S3_005_059Y1,S3_005_059Y1,S3_006_015W1,S3_006_015W1
S3_006_015Y1,S3_006_015Y1,06W-0926-1,06W-0926-2,06Y-0926-1,06Y-0926-2,S3_006_029W1,S3_006_029W1,S3_006_029Y1,S3_006_029Y1,S3_007_009W1,EC-13-BD
