A,B,C,D,E,F,G,H,I,J,K,L
12W-0409-1,12W-0409-2,12Y-0409-1,12Y-0409-2,12W-0426-1,12W-0426-2,12Y-0426-1,12Y-0426-2,12W-0509-1,12W-0509-2,12Y-0509-1,12Y-0509-2
12W-0517-1,12W-0517-2,12Y-0517-1,12Y-0517-2,13W-0409-1,13W-0409-2,13Y-0409-1,13Y-0409-2,13W-0419-1,13W-0419-2,13Y-0419-1,13Y-0419-2
13W-0430-1,13W-0430-2,13Y-0430-1,13Y-0430-2,13W-0509-1,13W-0509-2,13Y-0509-1,13Y-0509-2,13W-0516-1,13W-0516-2,13Y-0516-1,13Y-0516-2
14W-0530-1,14W-0530-2,14Y-0530-1,14Y-0530-2,14W-0604-1,S3_CON_016Z1,MCS-16-D7,14W-0604-2,14Y-0604-1,14Y-0604-2,14W-0619-1,14W-0619-2
14Y-0619-1,14Y-0619-2,14W-0627-1,14W-0627-2,14Y-0627-1,14Y-0627-2,14W-0704-1,14W-0704-2,14Y-0704-1,14Y-0704-2,15W-0615-1,15W-0615-2
15Y-0615-1,15Y-0615-2,15W-0621-1,15W-0621-2,15Y-0621-1,15Y-0621-2,15W-0705-1,15W-0705-2,15Y-0705-1,15Y-0705-2,15W-0711-1,15W-0711-2
15Y-0711-1,15Y-0711-2,S3_016_015W1,S3_016_015W1,S3_016_015Y1,S3_016_015Y1,16W-0816-1,16W-0816-2,16Y-0816-1,16Y-0816-2,16W-0831-1,16W-0831-2
16Y-0831-1,16Y-0831-2,16W-0907-1,16W-0907-2,16Y-0907-1,16Y-0907-2,16W-0913-1,16W-0913-2,16Y-0913-1,16Y-0913-2,S3_CON_016Z3,S3_CON_016E1
