NCBI_sample_code,sample_name,plate,public_code,plate_type,Sample Type,spiked
S3_012_010G1,#12D10_G,LP_3,12A-10-T1015F,Library preperation,Gut,False
S3_014_059G1,#14D59_G,LP_3,14A-59-T1600D,Library preperation,Gut,False
S3_017_030G1,#17D30_G,LP_3,17A-30-T1000D,Library preperation,Gut,False
S3_003_051G1,#3D51_G,LP_3,03A-51-T1335D,Library preperation,Gut,False
S3_007_011G1,#7D11_G,LP_3,07A-11-T1700D,Library preperation,Gut,False
S3_009_057G1,#9D57_G,LP_3,09A-57-T1630F,Library preperation,Gut,False
S3_012_032G1,#12D32_G,LP_3,12A-32-T1610D,Library preperation,Gut,False
S3_015_011G1,#15D11_G,LP_3,15A-11-T0700D,Library preperation,Gut,False
S3_017_051G1,#17D51_G,LP_3,17A-51-T0100D,Library preperation,Gut,False
S3_004_010G1,#4D10_G,LP_3,04A-10-T1600D,Library preperation,Gut,False
S3_007_016G1,#7D16_G,LP_3,07A-16-T0800D,Library preperation,Gut,False
S3_010_011G1,#10D11_G,LP_3,10A-11-T1100D,Library preperation,Gut,False
S3_012_057G1,#12D57_G,LP_3,12A-57-T0715D,Library preperation,Gut,False
S3_015_028G1,#15D28_G,LP_3,15A-28-T1030D,Library preperation,Gut,False
S3_CON_017E1,S3_CON_017E1,LP_3,EC-17-A,Library preperation,CON_E,False
S3_004_032G1,#4D32_G,LP_3,04A-32-T1030F,Library preperation,Gut,False
S3_007_017G1,#7D17_G,LP_3,07A-17-T0000D,Library preperation,Gut,False
S3_010_013G1,#10D13_G,LP_3,10A-13-T0400F,Library preperation,Gut,False
S3_013_010G1,#13D10_G,LP_3,13A-10-T0800D,Library preperation,Gut,False
S3_015_052G1,#15D52_G,LP_3,15A-52-T1115D,Library preperation,Gut,False
S3_CON_018E1,S3_CON_018E1,LP_3,EC-18-A,Library preperation,CON_E,False
