A,B,C,D,E,F,G,H,I,J,K,L
empty,MCS-17-A2,S3_002_008G1,S3_004_032G1,S3_007_011G1,empty,S3_012_010G1,S3_014_059G1,17A-11-T2300F (1),S3_011_053G1,S3_CON_017Z4,empty
empty,empty,02A-08-T2240D,S3_004_057G1,S3_007_016G1,S3_010_011G1,S3_012_032G1,S3_015_011G1,S3_017_011G1,S3_013_010G1,empty,empty
empty,empty,S3_002_028G1,S3_005_011G1,S3_008_010G1,S3_010_013G1,S3_012_057G1,S3_015_028G1,17A-11-T1600D,S3_013_056G1,empty,empty
empty,empty,S3_002_054G1,05A-11-T1930D,S3_008_015G1,10A-13-T2000D,13A-09-T0715F,S3_015_052G1,17A-30-T0700D,S3_014_012G1,empty,empty
empty,empty,03A-12-T1300D,S3_005_029G1,S3_008_029G1,S3_010_019G1,S3_013_028G1,16A-15-T0800F,S3_017_030G1,15A-44-T0200D,empty,empty
empty,empty,S3_003_030G1,S3_005_059G1,S3_009_009G1,S3_011_013G1,13A-57-T0800D,S3_016_015G1,S3_017_051G1,17A-49-T0800D,empty,empty
empty,empty,S3_003_051G1,S3_006_057G1,S3_009_031G1,S3_011_033G1,14A-10-T0800F,S3_016_030G1,MCS-17-G9,05A-59-T1530D,empty,empty
empty,S3_CON_017Z2,S3_004_010G1,07A-11-T0400D,S3_009_057G1,11A-52-T1130D,S3_014_027G1,S3_016_057G1,S3_007_017G1,empty,empty,S3_CON_017E1
