A,B,C,D,E,F,G,H,I,J,K,L
S3_002_008W1,S3_004_057W1,S3_006_057W1,S3_009_011W1,S3_011_033W1,S3_011_052W1,S3_CON_012E1,empty,empty,empty,empty,empty
S3_002_028W1,S3_005_011W1,S3_008_010W1,S3_009_031W1,S3_012_025W1,S3_012_057W1,EC-13-BD,empty,empty,empty,empty,empty
S3_002_056W1,S3_005_029W1,S3_008_029W1,S3_012_010W1,S3_013_029W1,S3_013_057W1,S3_CON_014E1,empty,empty,empty,empty,empty
S3_003_012W1,S3_005_059W1,S3_009_057W1,S3_013_008W1,S3_014_027W1,S3_014_057W1,EC-15-BD,empty,empty,empty,empty,empty
S3_003_032W1,S3_006_029W1,S3_010_019W1,S3_014_010W1,S3_015_028W1,S3_015_050W1,S3_CON_016E1,empty,empty,empty,empty,empty
S3_003_051W1,S3_006_015W1,S3_007_015W1,S3_015_008W1,S3_016_030W1,S3_016_057W1,empty,empty,empty,empty,empty,empty
S3_004_010W1,S3_007_009W1,S3_008_015W1,S3_017_011W1,S3_017_029W1,S3_017_056W1,empty,empty,empty,empty,empty,empty
S3_004_032W1,S3_010_013W1,S3_010_010W1,S3_011_013W1,S3_016_015W1,empty,empty,empty,empty,empty,empty,empty
